"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"HINT1",3.07267854875816e-58,0.464233894953384,0.943,0.605,5.70166231507565e-54,"ZR"
"CPE",3.90610709714252e-58,0.320704249610103,0.291,0.049,7.24817232945766e-54,"ZR"
"FNDC4",5.30245486481069e-58,0.367410811197878,0.353,0.07,9.83923524714272e-54,"ZR"
"DPM3",7.79284200198861e-58,0.425615155915761,0.523,0.165,1.44603976188901e-53,"ZR"
"SAT1",2.05654830492936e-57,-1.61145683305978,0.254,0.584,3.81613103462692e-53,"ZR"
"LRRC58",2.11644726018012e-57,0.396272317797785,0.333,0.065,3.92727953599024e-53,"ZR"
"PON2",2.91329581406533e-57,0.365674809085296,0.398,0.094,5.40591171257962e-53,"ZR"
"SAR1B",3.0967003176578e-57,0.391909366707039,0.405,0.095,5.74623710944581e-53,"ZR"
"ROMO1",3.80717902086396e-57,0.460893340990766,0.664,0.273,7.06460139111517e-53,"ZR"
"NDUFA13",7.09908293921758e-57,0.482314766660008,0.827,0.44,1.31730583020121e-52,"ZR"
"INSIG1",8.25246373485513e-57,0.584368175885047,0.435,0.118,1.53132717063972e-52,"ZR"
"AK3",9.79540028171249e-57,0.405486744064078,0.422,0.106,1.81763447627457e-52,"ZR"
"RHEB",1.0318347892182e-56,0.46807150617916,0.6,0.223,1.9146726348733e-52,"ZR"
"LSM4",1.13185983261039e-56,0.430144489741757,0.543,0.181,2.10027910539184e-52,"ZR"
"CD37",1.19766177966114e-56,-0.522946491901595,0.002,0.287,2.22238119833921e-52,"ZR"
"ECHDC3",1.63995753450728e-56,0.272648705600141,0.195,0.015,3.0431052010317e-52,"ZR"
"TYROBP",2.09936466297042e-56,-1.51102341987371,0.012,0.311,3.89558106860792e-52,"ZR"
"GNAS",2.23836232991093e-56,0.519658182270534,0.763,0.375,4.15350513938273e-52,"ZR"
"PPA1",2.60512026085586e-56,0.419616209147892,0.499,0.152,4.83406115604413e-52,"ZR"
"QDPR",3.17345945369773e-56,0.374961463821629,0.358,0.074,5.88867136228151e-52,"ZR"
"AHCYL1",4.09751128953406e-56,0.393805677958354,0.432,0.112,7.6033419488594e-52,"ZR"
"RPS19",4.74595968028052e-56,-0.861913767484017,0.998,0.995,8.80660278272854e-52,"ZR"
"ATP5F1B",6.26145019727266e-56,0.487306079014585,0.753,0.363,1.16187469860591e-51,"ZR"
"EVL",9.60420769635892e-56,-0.536472410233896,0.002,0.283,1.78215678013636e-51,"ZR"
"CST7",1.26022956384985e-55,-0.758542576638749,0.002,0.282,2.33848197867978e-51,"ZR"
"NAA38",1.78415386901428e-55,0.48896590052726,0.691,0.305,3.3106759193429e-51,"ZR"
"SULT1A1",2.35875495396108e-55,0.409722974648141,0.407,0.1,4.37690569257017e-51,"ZR"
"NDUFAB1",2.90195638031282e-55,0.421396472737505,0.565,0.201,5.38487025930847e-51,"ZR"
"TRMT112",3.1243045309803e-55,0.443478395467521,0.817,0.43,5.79745948768705e-51,"ZR"
"SRP14",3.77104281879222e-55,0.480170512312421,0.965,0.723,6.99754705455085e-51,"ZR"
"ARL2",4.76474889827672e-55,0.413252765413734,0.489,0.149,8.84146805564229e-51,"ZR"
"STK4",7.72350129286365e-55,-0.625135137551125,0.017,0.318,1.43317289990378e-50,"ZR"
"FOSL2",1.27844984426917e-54,0.470441365311214,0.617,0.242,2.37229153102587e-50,"ZR"
"NDUFA1",1.81912995090141e-54,0.450730813653156,0.835,0.454,3.37557753689265e-50,"ZR"
"UQCC3",2.00289395469642e-54,0.363923737154109,0.395,0.096,3.71657002233467e-50,"ZR"
"TRAC",2.9320381397881e-54,-0.764810052688072,0.002,0.277,5.4406899721908e-50,"ZR"
"RNF187",2.95836076709698e-54,0.416014297983816,0.477,0.143,5.48953423942515e-50,"ZR"
"RPS8",3.10426256526016e-54,0.532055462715614,0.998,0.993,5.76026961609675e-50,"ZR"
"RPL36",4.5668268421354e-54,0.489096239369335,1,0.984,8.47420388826646e-50,"ZR"
"MAOA",5.85195562274849e-54,0.254433773872605,0.202,0.018,1.08588888535721e-49,"ZR"
"MRPL41",8.35101153367235e-54,0.45869046126399,0.63,0.255,1.54961370018824e-49,"ZR"
"SARAF",8.44104118798283e-54,0.467367392738539,0.832,0.456,1.56631960284209e-49,"ZR"
"TMSB4X",8.74043576290025e-54,-0.840755949360974,0.998,0.986,1.62187526016377e-49,"ZR"
"ADIPOR2",1.07704932620121e-53,0.355090192040998,0.311,0.057,1.99857272969897e-49,"ZR"
"DPY30",1.61710724670175e-53,0.389172386942799,0.459,0.134,3.00070420697977e-49,"ZR"
"ECE1",2.17776468793899e-53,0.375056727635336,0.365,0.082,4.04106015493959e-49,"ZR"
"CD55",2.36968203865143e-53,0.419587903596371,0.521,0.175,4.3971819909216e-49,"ZR"
"MRPL40",2.95312888995278e-53,0.367965554022274,0.407,0.104,5.47982596819638e-49,"ZR"
"TESC",5.1134429716506e-53,0.3731136493378,0.336,0.069,9.48850477819486e-49,"ZR"
"MRPL46",7.62276830062357e-53,0.331719036187376,0.323,0.063,1.41448088586371e-48,"ZR"
"IFI27",8.28377709034024e-53,1.19893195468267,0.844,0.591,1.53713767688353e-48,"ZR"
"TPI1",8.65468812947416e-53,0.42003862496189,0.822,0.444,1.60596392930522e-48,"ZR"
"RHBDD2",2.02370217810496e-52,0.401833732429037,0.432,0.119,3.75518176169156e-48,"ZR"
"DNAJC19",2.15191705626003e-52,0.403755775594743,0.452,0.132,3.99309728959612e-48,"ZR"
"PIGP",4.87007335214115e-52,0.401012252283646,0.38,0.094,9.03690811223312e-48,"ZR"
"SKP1",8.55097788109855e-52,0.515034344784178,0.906,0.59,1.58671945561665e-47,"ZR"
"LDHB",9.51406503114269e-52,0.472833415885811,0.743,0.364,1.76542990717884e-47,"ZR"
"FYB1",9.69817271263915e-52,-0.480272271463431,0.002,0.266,1.79959292855732e-47,"ZR"
"ITM2A",1.10197164060823e-51,-0.559200196053332,0.002,0.266,2.04481857631263e-47,"ZR"
"POLR2J",1.16491052232269e-51,0.423999697617579,0.568,0.212,2.16160796522199e-47,"ZR"
